"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-35.19,"-37.18 to -33.31",-106.3,"-112.45 to -100.49",-2.24,"-2.32 to -2.15",57.95,"57.29 to 58.45"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-36.53,"-40.13 to -34",-110.51,"-121.71 to -102.73",-2.26,"-2.4 to -2.15",57.95,"57.29 to 58.45"
