"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-46.15,"-50.48 to -42.49",-134.06,"-147.2 to -123.26",-4.59,"-4.97 to -4.27",71.09,"69.5 to 71.79"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-45.89,"-49.57 to -38.95",-133.82,"-144.28 to -115.09",-4.38,"-4.82 to -3.22",71.09,"69.5 to 71.79"
