"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-85.63,4.01,-231.18,12.02,-13.93,0.32,66.34,8.05
"2 Tm versus ln[Ct]",-80.57,5.36,-216.09,15.98,-13.55,0.41,66.59,0.38
"3 Global fit",-84.13,0.44,-226.64,1.3,-13.84,0.03,66.49,0.04
