"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-35.07,"-36.69 to -32.65",-101.87,"-106.59 to -94.8",-3.49,"-3.64 to -3.27",71.11,"70.74 to 71.56"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-37.01,"-40.2 to -32.91",-107.79,"-117.05 to -95.91",-3.58,"-3.92 to -3.14",71.11,"70.74 to 71.56"
