"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-32.68,4.83,-97.64,15.21,-2.42,0.21,61.6,27.34
"3 Global fit",-33.4,0.69,-100.23,2.07,-2.31,0.05,61.6,NA
