"Sample","Ct","dH","dS","dG","Tm"
"38",0.000305,-83.98,-253.43,-5.38,38.46
"39",5.99e-05,-76.95,-231.05,-5.29,34.19
"40",2.02e-05,-70.73,-211.22,-5.22,30.78
"42",0.000159,-79.47,-238.66,-5.45,37.22
"43",3.63e-05,-75.16,-225.13,-5.33,33.05
"44",1.18e-05,-68.23,-203.17,-5.22,29.14
"46",0.000104,-76.73,-229.91,-5.42,36.09
"47",2.18e-05,-71.14,-212.13,-5.35,31.56
"48",7.4e-06,-66.16,-196.75,-5.13,27.25
