"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-35.57,4.97,-106.18,14.86,-2.65,0.39,61.85,27.07
"3 Global fit",-35.9,0.47,-107.42,1.43,-2.59,0.03,61.85,NA
