"Sample","Ct","dH","dS","dG","Tm"
"144",4.17e-05,-44.3,-131.81,-3.44,62.95
"145",0.000476,-63.95,-190.95,-4.76,61.76
"147",2.61e-05,-30.42,-89.25,-2.75,67.66
"152",7.23e-05,-32.82,-97.37,-2.63,63.89
"153",1.14e-05,-33.88,-100.09,-2.85,65.37
