"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-59.96,2.32,-172.83,7.29,-6.36,0.07,40.58,5.69
"2 Tm versus ln[Ct]",-60.42,1.61,-174.29,5.15,-6.37,0.03,40.59,0.12
"3 Global fit",-59.73,0.32,-172.05,0.99,-6.37,0.01,40.63,0.04
