"Sample","Ct","dH","dS","dG","Tm"
"182",3.02e-05,-35.6,-101.2,-4.23,78.68
"184",6.33e-05,-39.84,-114.65,-4.3,74.32
"185",1.85e-05,-41.7,-118.98,-4.81,77.31
"187",3.33e-05,-32.53,-92.13,-3.97,79.93
"188",9.25e-06,-32.77,-92.22,-4.18,82.16
