"Sample","Ct","dH","dS","dG","Tm"
"163",0.000487,-35.35,-105.3,-2.71,62.55
"164",9.69e-05,-35.07,-103.54,-2.97,65.57
"165",9.3e-06,-34.41,-100.84,-3.15,68.06
"167",6.03e-05,-41.16,-121.44,-3.51,65.75
"168",5.91e-06,-39.2,-115.37,-3.43,66.6
"170",3.62e-05,-34.92,-102.29,-3.21,68.26
"171",4.05e-06,-30.26,-88.97,-2.68,66.95
