"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-40.42,7.58,-125.41,23.56,-1.55,0.28,49.18,34.92
"3 Global fit",-41.7,0.87,-129.52,2.67,-1.53,0.05,49.18,NA
