"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-56.11,7.2,-158.74,22.75,-6.88,0.21,43.78,8.42
"2 Tm versus ln[Ct]",-62.5,3.14,-178.84,9.94,-7.04,0.07,43.88,3.29
"3 Global fit",-53.56,0.5,-150.71,1.59,-6.82,0.02,43.75,0.62
