"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-35.77,3.52,-105.39,10.49,-3.09,0.33,66.22,18.05
"3 Global fit",-36.61,0.74,-108.68,2.2,-2.91,0.06,66.22,NA
