"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-60.25,"-61 to -59.48",-172.41,"-174.8 to -169.98",-6.78,"-6.8 to -6.74",42.79,"42.64 to 42.89"
"2 Tm versus ln[Ct]",-60.15,"-61.17 to -59.07",-172.07,"-175.35 to -168.67",-6.78,"-6.8 to -6.75",42.82,"42.63 to 42.93"
"3 Global fit",-59.8,"-60.95 to -58.83",-170.87,"-174.5 to -167.85",-6.8,"-6.83 to -6.77",42.93,"42.84 to 43"
