"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-62.55,4.86,-167.67,14.85,-10.55,0.39,58.28,6.87
"2 Tm versus ln[Ct]",-51.23,7.19,-133.05,22.01,-9.96,0.37,59.28,12.86
"3 Global fit",-65.84,0.49,-177.38,1.49,-10.83,0.03,58.64,0.66
