"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-74.28,5.7,-222.04,18.11,-5.42,0.11,35.92,11.09
"2 Tm versus ln[Ct]",-61.58,2.63,-180.76,8.59,-5.52,0.04,36.21,0.21
"3 Global fit",-77.88,0.34,-233.62,1.1,-5.42,0.01,35.98,0.02
