"Sample","Ct","dH","dS","dG","Tm"
"223",7.51e-06,-24.62,-73.61,-1.81,61.37
"224",3.45e-06,-28.19,-84.8,-1.9,59.29
"231",2.13e-05,-36.33,-109.46,-2.39,58.7
"235",1.33e-05,-34.7,-104.65,-2.26,58.46
"236",5.07e-06,-35.65,-108.08,-2.15,56.73
