"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-33,5.88,-97.22,17.95,-2.86,0.34,66.25,29.13
"3 Global fit",-32.36,0.53,-95.53,1.58,-2.74,0.04,66.25,NA
