"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-62.38,"-64.7 to -59.94",-194.25,"-202.26 to -185.81",-2.14,"-2.31 to -1.96",20.35,"20.17 to 20.5"
"2 Tm versus ln[Ct]",-62.24,"-65 to -59.44",-193.77,"-203.28 to -184.1",-2.14,"-2.34 to -1.95",20.33,"20.1 to 20.54"
"3 Global fit",-64.48,"-66.58 to -62.4",-201.15,"-208.26 to -194.12",-2.09,"-2.2 to -2",20.66,"20.51 to 20.8"
