"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 individual fits",-51.75,"-53.3 to -49.96",-143.18,"-148.19 to -137.46",-7.34,"-7.4 to -7.27",41.94,"41.49 to 42.35"
"2 Tm versus ln[Ct]",-47.46,"-49.63 to -46.02",-129.54,"-136.55 to -124.89",-7.28,"-7.33 to -7.23",42.01,"41.54 to 42.43"
"3 Global fit",-51.96,"-54.18 to -50.39",-143.72,"-150.77 to -138.69",-7.38,"-7.45 to -7.3",42.15,"41.72 to 42.43"
