"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-81.3,4.47,-235.95,13.84,-8.12,0.19,46.62,8.25
"2 Tm versus ln[Ct]",-74.69,2.57,-215.31,8.07,-7.91,0.07,46.55,0.13
"3 Global fit",-84.14,0.31,-244.77,0.95,-8.23,0.01,46.7,0.02
