"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-55.75,"-56.84 to -54.72",-153.51,"-156.85 to -150.29",-8.14,"-8.19 to -8.1",51.34,"51.22 to 51.44"
"2 Tm versus ln[Ct]",-55.74,"-56.99 to -54.56",-153.5,"-157.32 to -149.84",-8.13,"-8.18 to -8.08",51.28,"51.15 to 51.43"
"3 Global fit",-57.01,"-58.31 to -55.94",-157.3,"-161.21 to -153.98",-8.23,"-8.31 to -8.13",51.52,"51.11 to 51.79"
