"Sample","Ct","dH","dS","dG","Tm"
"154",0.000481,-35.87,-105.63,-3.13,66.45
"155",0.000112,-35.15,-101.21,-3.77,74.13
"156",1.78e-05,-45.87,-132.44,-4.81,73.18
"158",6.92e-05,-39.38,-113.51,-4.19,73.75
"159",1.42e-05,-46.73,-134.79,-4.94,73.53
"161",3.95e-05,-51.77,-150.66,-5.07,70.48
"162",9.51e-06,-47.98,-138.68,-4.99,72.82
