"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-44.57,4.47,-133.56,13.61,-3.17,0.29,60.57,16.91
"3 Global fit",-45.46,0.41,-136.3,1.23,-3.19,0.03,60.57,NA
