"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-31.03,"-33.65 to -29.09",-92.6,"-100.51 to -86.54",-2.33,"-2.49 to -2.15",61.96,"60.38 to 63.25"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-31.95,"-36.1 to -29.03",-95.61,"-108.68 to -86.4",-2.3,"-2.41 to -2.22",61.96,"60.38 to 63.25"
