"Sample","Ct","dH","dS","dG","Tm"
"208",4.66e-06,-44.42,-130.64,-3.93,66.9
"212",1.17e-05,-40.19,-117.21,-3.86,69.77
"214",0.000113,-49.55,-146.94,-4,64.07
"216",9.32e-06,-40.88,-120.41,-3.55,66.34
"218",6.18e-05,-50.57,-149.96,-4.08,64.05
"220",6.75e-06,-40.78,-120.04,-3.56,66.53
