"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-77.4,"-78.67 to -75.87",-221.75,"-225.8 to -217.04",-8.62,"-8.68 to -8.55",49.28,"49.11 to 49.36"
"2 Tm versus ln[Ct]",-75.79,"-77.21 to -73.96",-216.83,"-221.29 to -211.19",-8.54,"-8.59 to -8.47",49.19,"49.08 to 49.32"
"3 Global fit",-80.9,"-84.66 to -78.78",-232.68,"-244.38 to -226.16",-8.73,"-8.86 to -8.63",49.19,"49.1 to 49.25"
