"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-36.77,7.74,-114.55,24.5,-1.26,0.18,47.83,32.14
"3 Global fit",-39.76,0.83,-124.35,2.57,-1.19,0.04,47.83,NA
