"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-37.33,"-39.32 to -35.46",-115.71,"-122.3 to -109.66",-1.46,"-1.52 to -1.35",49.52,"47.92 to 50.22"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-37.13,"-40.81 to -34.19",-115.2,"-126.82 to -105.97",-1.4,"-1.5 to -1.28",49.52,"47.92 to 50.22"
