"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 individual fits",-73.52,"-74.35 to -72.5",-220.03,"-222.79 to -216.73",-5.28,"-5.3 to -5.24",35.33,"35.18 to 35.43"
"2 Tm versus ln[Ct]",-63.14,"-64.68 to -61.98",-186.25,"-191.34 to -182.4",-5.37,"-5.4 to -5.33",35.52,"35.34 to 35.63"
"3 Global fit",-74.09,"-78.83 to -71.81",-221.77,"-237.04 to -214.48",-5.31,"-5.34 to -5.26",35.46,"35.2 to 35.6"
