"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-34.16,"-36.57 to -33.02",-100.71,"-107.84 to -97.38",-2.94,"-3.13 to -2.83",66.04,"65.5 to 66.65"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-31.54,"-33.9 to -28.93",-93.03,"-100.3 to -85.34",-2.68,"-2.8 to -2.46",66.04,"65.5 to 66.65"
