"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-55.03,"-57.3 to -52.39",-154.64,"-162 to -146.17",-7.07,"-7.12 to -7.01",45.03,"44.64 to 45.44"
"2 Tm versus ln[Ct]",-58.33,"-61.91 to -54.55",-165.1,"-176.59 to -152.99",-7.13,"-7.18 to -7.08",44.91,"44.46 to 45.36"
"3 Global fit",-55.63,"-60.24 to -52.17",-156.52,"-171.48 to -145.61",-7.09,"-7.21 to -6.97",45.08,"44.29 to 45.8"
