"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 individual fits",-68.36,"-69.53 to -67.32",-187.52,"-191.12 to -184.29",-10.21,"-10.27 to -10.14",54.63,"54.39 to 54.83"
"2 Tm versus ln[Ct]",-68.12,"-70.01 to -66.48",-186.77,"-192.61 to -181.71",-10.19,"-10.28 to -10.11",54.61,"54.43 to 54.79"
"3 Global fit",-67.41,"-69.8 to -65.87",-184.57,"-191.92 to -179.83",-10.16,"-10.27 to -10.08",54.67,"54.46 to 54.9"
