"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-74.9,"-76.03 to -74.17",-198.28,"-201.61 to -196.14",-13.4,"-13.51 to -13.33",72.67,"72.57 to 72.81"
"2 Tm versus ln[Ct]",-80.94,"-83.57 to -79.17",-216.11,"-223.79 to -210.92",-13.91,"-14.16 to -13.75",72.14,"72.02 to 72.28"
"3 Global fit",-79.78,"-82.1 to -77.64",-212.56,"-219.55 to -206.05",-13.86,"-14.06 to -13.61",72.43,"71.84 to 72.93"
