"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-37.75,3.16,-109.71,9.4,-3.74,0.31,70.93,13.86
"3 Global fit",-36.54,0.27,-106.37,0.81,-3.55,0.02,70.93,NA
