"Sample","Ct","dH","dS","dG","Tm"
"84",2.01e-05,-42.4,-120.29,-5.11,79.32
"86",6.62e-05,-47.65,-141.88,-3.67,62.7
"87",1.36e-05,-39,-111.1,-4.56,77.89
"90",8.82e-06,-41.13,-116.6,-4.99,79.61
