"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-35.69,"-38.25 to -33.2",-111.13,"-119.31 to -103.18",-1.24,"-1.28 to -1.2",47.99,"47.45 to 48.52"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-36.39,"-42.17 to -32.07",-113.68,"-132.03 to -99.96",-1.14,"-1.22 to -1.07",47.99,"47.45 to 48.52"
