"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-41.07,13.85,-121.89,41.86,-3.29,0.88,63.81,72.55
"3 Global fit",-46.52,1.53,-138.44,4.55,-3.59,0.12,63.81,NA
