"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 individual fits",-58.73,"-61.23 to -56.59",-155.86,"-163.58 to -149.43",-10.39,"-10.53 to -10.25",58.82,"58.55 to 59.34"
"2 Tm versus ln[Ct]",-63.95,"-69.21 to -57.27",-171.84,"-187.76 to -151.58",-10.65,"-10.95 to -10.3",58.38,"58.1 to 59.6"
"3 Global fit",-60.25,"-62 to -58.16",-160.5,"-165.69 to -154.17",-10.47,"-10.62 to -10.32",58.7,"58.4 to 58.93"
