"Sample","Ct","dH","dS","dG","Tm"
"62",0.000381,-66.43,-207.79,-1.98,24.17
"63",6.49e-05,-65.96,-205.98,-2.08,19.83
"64",1.5e-05,-59.99,-185.94,-2.32,15.25
"66",0.000231,-51.73,-158.1,-2.69,22.88
"67",3.86e-05,-62.17,-193.29,-2.22,18.04
"68",9.47e-06,-49.34,-149.74,-2.9,12.51
"70",0.000133,-55.37,-170.43,-2.51,21.12
"71",2.29e-05,-62.16,-193.16,-2.25,16.78
"72",5.84e-06,-51.73,-159.1,-2.39,9.48
