"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-49.42,14.69,-136.17,47.19,-7.19,0.16,41.2,44.27
"2 Tm versus ln[Ct]",-44.38,2.62,-120.44,8.48,-7.02,0.05,40.48,0.44
"3 Global fit",-52.45,0.4,-145.84,1.24,-7.22,0.01,41.12,0.06
