"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-44.4,4.64,-130.87,14.39,-3.83,0.22,66.11,21.11
"3 Global fit",-42.7,1.14,-125.8,3.31,-3.68,0.12,66.11,NA
