"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-35.37,7.39,-106.94,22.86,-2.22,0.33,57.59,40.39
"3 Global fit",-39.59,0.8,-120.13,2.42,-2.33,0.05,57.59,NA
