"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-70.4,4.74,-193.1,14.54,-10.5,0.27,55.55,10.5
"2 Tm versus ln[Ct]",-64.86,1.58,-176.11,4.9,-10.24,0.07,55.8,0.18
"3 Global fit",-70.22,0.32,-192.56,0.98,-10.5,0.02,55.56,0.03
