"Sample","Ct","dH","dS","dG","Tm"
"3",9.5e-06,-58.19,-154.99,-10.12,48.84
"4",1.54e-05,-63.62,-173.88,-9.69,47.1
"5",2.5e-05,-56.8,-150.51,-10.12,52.66
"6",4.28e-05,-63.67,-172.22,-10.25,53.4
"7",7.23e-05,-71.71,-195.8,-10.98,56.53
"8",0.000115,-62.99,-169.37,-10.46,58.12
"9",0.000124,-60.85,-163.3,-10.2,57.65
