"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-58.32,6.45,-180.39,21.66,-2.37,0.29,20.37,15.21
"2 Tm versus ln[Ct]",-51.38,4.1,-156.68,14.11,-2.78,0.28,20.47,0.43
"3 Global fit",-62.79,1.01,-195.44,3.37,-2.18,0.04,20.64,0.11
