"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-43.25,6.44,-125.27,18.57,-4.41,0.74,72.09,27.52
"3 Global fit",-38.86,0.83,-113.3,2.49,-3.72,0.07,72.09,NA
