"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-61.91,3.76,-169.33,11.85,-9.4,0.12,52.03,4.82
"2 Tm versus ln[Ct]",-61.53,1.68,-168.16,5.25,-9.37,0.06,52.03,2.16
"3 Global fit",-62.32,0.22,-170.52,0.68,-9.43,0.01,52.15,0.28
