"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-56.15,1.18,-155.18,4.14,-8.02,0.14,50.51,1.72
"2 Tm versus ln[Ct]",-57.35,4.46,-158.89,13.83,-8.07,0.18,50.51,5.9
"3 Global fit",-56.33,0.2,-155.56,0.63,-8.08,0.01,50.84,0.27
