"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-31.9,5.2,-96.12,16.04,-2.1,0.24,58.71,34.66
"3 Global fit",-34.35,0.44,-103.57,1.33,-2.23,0.03,58.71,NA
