"Sample","Ct","dH","dS","dG","Tm"
"91",0.000276,-41.75,-126.5,-2.54,56.91
"92",5.63e-05,-43.32,-132.18,-2.35,54.61
"93",1e-05,-36.26,-109.21,-2.41,58.88
"97",7.63e-05,-22.55,-67.6,-1.6,60.47
"98",2.12e-05,-34.84,-105.29,-2.2,57.75
"99",3.72e-06,-33.49,-100.85,-2.22,58.87
