"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-50.55,"-52.74 to -47.52",-145.24,"-151.55 to -136.56",-5.53,"-5.76 to -5.19",74.89,"74.35 to 75.82"
"2 Tm versus ln[Ct]",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA",NA,"NA to NA"
"3 Global fit",-42.51,"-45.7 to -38.09",-122.62,"-131.4 to -110.2",-4.49,"-4.94 to -3.91",74.89,"74.35 to 75.82"
