"Sample","Ct","dH","dS","dG","Tm"
"100",0.000525,-43.8,-136.23,-1.57,48.37
"101",1e-04,-39.51,-122.74,-1.46,48.74
"102",1.98e-05,-37.32,-115.54,-1.51,49.89
"103",0.00031,-53.7,-166.49,-2.08,49.36
"104",6.02e-05,-36.23,-112.46,-1.36,48.99
"105",1.23e-05,-31.98,-98.99,-1.3,49.96
