Experimental Tm Analysis,,,,,,,,,,
,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,
Serial Number:,,,8001246,,,,,,,
Software Version:,,,"2.0,  Build 83",,,,,,,
Firmware Version:,,,2.0.081,,,,,,,
Method Name:,,,HP3,,,,,,,
Organization:,,,,,,,,,,
Department:,,,,,,,,,,
Operator:,,,,,,,,,,
Product Name:,,,,,,,,,,
Component Name:,,,,,,,,,,
Lot Number:,,,,,,,,,,
Comment:,,,,,,,,,,
Signature 1:,,,,,,,,,,
Signature 2:,,,,,,,,,,
Signature 3:,,,,,,,,,,
Signature 4:,,,,,,,,,,
Signature 5:,,,,,,,,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap3s Melt 1 022007.dux,,,,,,,
Date Acquired:,,,"February 20, 2007 9:16 AM",,,,,,,
,,,,,,,,,,
Analytical Wavelength:,,,280.0 nm,,,,,,,
Second Wavelength:,,,280.0 nm,,,,,,,
Use of 2nd WL:,,,None,,,,,,,
Calc Mode:,,,First Derivative,,,,,,,
58.3,,0.0071,,1.8001,,1.9822,,0.7923,,
58.8,,0.0071,,1.805,,1.9934,,0.7935,,
59.2,,0.0071,,1.8049,,1.9933,,0.7946,,
59.8,,0.0072,,1.8147,,1.997,,0.7965,,
60.3,,0.0071,,1.8173,,2.0047,,0.7975,,
60.8,,0.0071,,1.8223,,2.0086,,0.7992,,
61.3,,0.007,,1.8249,,2.0165,,0.8007,,
61.8,,0.0071,,1.83,,2.0165,,0.8016,,
62.3,,0.007,,1.8352,,2.0205,,0.8036,,
62.8,,0.007,,1.8352,,2.0245,,0.8048,,
63.3,,0.0069,,1.8379,,2.0286,,0.8066,,
63.9,,0.0069,,1.8431,,2.0327,,0.8083,,
64.2,,0.007,,1.8484,,2.0367,,0.8097,,
64.8,,0.0069,,1.8511,,2.0451,,0.8107,,
65.3,,0.007,,1.8565,,2.0536,,0.8132,,
65.8,,0.007,,1.862,,2.0579,,0.8142,,
66.3,,0.007,,1.8704,,2.0579,,0.8159,,
66.8,,0.007,,1.8704,,2.0667,,0.8174,,
67.3,,0.0069,,1.8733,,2.0712,,0.8197,,
67.7,,0.0069,,1.879,,2.0803,,0.8215,,
68.2,,0.0069,,1.8849,,2.0803,,0.8228,,
68.7,,0.0069,,1.8937,,2.0849,,0.825,,
69.2,,0.0069,,1.8937,,2.099,,0.8268,,
69.7,,0.0069,,1.8996,,2.099,,0.8288,,
