Method,dH.kcal.mol,SE.dH.kcal.mol,dS.kcal.molK,SE.dS.kcal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-75.38,2.874,-200.33,8.258,-13.25,0.34,67.3,
2 Tm versus ln[Ct],-74.61,6.197,-198.04,18.391,-13.19,0.509,67.4,
