Concentration.M,dH.kcal.mol,dS.kcal.molK,dG.kcal.mol,Tm.degC
4.98E-06,-77.76,-207.67,-13.36,58.2
8.47E-06,-72.08,-190.61,-12.97,59.68
1.33E-05,-76.33,-203.4,-13.24,60.93
2.20E-05,-73.37,-194.26,-13.12,62.92
3.41E-05,-78.87,-209.66,-13.84,65.55
5.64E-05,-72.64,-210.26,-13.61,65.91
9.09E-05,-73.18,-192.82,-12.83,66.16
1.04E-04,-75.38,-193.95,-13.02,67.33
