Method,dH.kcal.mol,SE.dH.kcal.mol,dS.kcal.molK,SE.dS.kcal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-55.54,1.282,-153.67,4.309,-7.88,0.195,49.8,
2 Tm versus ln[Ct],-53.41,4.85,-147.08,15.045,-7.79,0.224,49.8,
