Concentration.M,dH.kcal.mol,dS.kcal.molK,dG.kcal.mol,Tm.degC
5.15E-04,-57.11,-158.37,-7.99,56.15
1.18E-04,-54.37,-149.58,-7.98,51.36
2.40E-05,-54.19,-148.5,-8.13,46.27
2.96E-04,-56.79,-157.16,-8.05,54.53
7.39E-05,-55.89,-154.77,-7.89,48.68
1.68E-05,-53.33,-146.45,-7.91,43.75
1.76E-04,-56.35,-155.54,-7.8,51.22
5.53E-05,-55.8,-156.1,-7.56,45.67
1.20E-05,-56.01,-153.67,-7.59,40.41
