"Sample","Ct","dH","dS","dG","Tm"
"js7008_CPEB3-Cell 02.o3a",4.01e-07,-75.18,-218.2,-7.54,71.39
"js7008_CPEB3-Cell 03.o3a",6.84e-07,-74.25,-215.4,-7.48,71.57
"js7008_CPEB3-Cell 04.o3a",3.11e-06,-70.88,-205.39,-7.21,71.95
"js7008_CPEB3-Cell 05.o3a",1.19e-06,-72.97,-211.19,-7.5,72.37
"js7008_CPEB3-Cell 06.o3a",1.88e-06,-70.88,-204.94,-7.35,72.71
"js7008_CPEB3-Cell 08.o3a",5.4e-06,-70.75,-205.47,-7.05,71.18
"js7008_CPEB3-Cell 10.o3a",1.48e-05,-67.66,-196.23,-6.83,71.63
"js7008_CPEB3-Cell 11.o3a",2.5e-05,-66.39,-192.44,-6.74,71.85
