"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-71.12,3.03,-206.16,8.82,-7.21,0.31,71.83,7.38
"3 Global fit",-69.62,0.48,-201.82,1.39,-7.02,0.05,71.83,NA
