Concentration.M,dH.kcal.mol,dS.kcal.molK,dG.kcal.mol,Tm.degC
2.69E-06,-82.64,-222.19,-13.73,56.86
4.56E-06,-83.93,-225.89,-13.87,58.47
8.22E-06,-88.1,-237.71,-14.37,60.9
1.49E-05,-83.62,-225.03,-13.82,61.47
2.64E-05,-91.94,-250.54,-14.23,62.09
4.83E-05,-79.04,-211.07,-13.58,65.25
8.64E-05,-80.79,-216.3,-13.71,66.82
1.16E-04,-89.5,-241.71,-14.53,67.83
