Sample,Temperature,Absorbance,Pathlength
3,15.07,0.309005737,1
3,15.59,0.308609009,1
3,16.08,0.309098223,1
3,16.59,0.308823564,1
3,17.09,0.309627104,1
3,17.59,0.309280395,1
3,18.1,0.309688657,1
3,18.6,0.308517456,1
3,19.11,0.309341431,1
3,19.62,0.310410127,1
3,20.12,0.309280396,1
3,20.69,0.310425903,1
3,21.16,0.310837373,1
3,21.66,0.310153315,1
3,22.15,0.309448242,1
3,22.66,0.309871245,1
3,23.15,0.311050415,1
3,23.65,0.30977168,1
3,24.14,0.310562134,1
3,24.63,0.309906006,1
3,25.13,0.310013916,1
3,25.63,0.31025582,1
3,26.13,0.310943604,1
3,26.65,0.310775757,1
3,27.19,0.311908594,1
3,27.71,0.310546875,1
3,28.19,0.310958862,1
3,28.7,0.310836792,1
3,29.2,0.310836792,1
3,29.69,0.311662734,1
3,30.18,0.311475488,1
3,30.69,0.311122466,1
3,31.19,0.311717041,1
3,31.67,0.311111451,1
3,32.18,0.311813354,1
3,32.67,0.311782837,1
3,33.17,0.311660767,1
3,33.67,0.311521782,1
3,34.18,0.312316895,1
3,34.68,0.312302568,1
3,35.18,0.312672568,1
3,35.69,0.31178584,1
3,36.19,0.31237938,1
3,36.69,0.311782837,1
3,37.19,0.312469482,1
3,37.69,0.312988281,1
3,38.2,0.31312561,1
3,38.7,0.313044907,1
3,39.2,0.312985591,1
3,39.7,0.313030166,1
3,40.22,0.313278096,1
3,40.7,0.313674926,1
3,41.21,0.313417495,1
3,41.71,0.313415527,1
3,42.22,0.313491588,1
3,42.73,0.313566978,1
3,43.22,0.314349834,1
3,43.73,0.314685527,1
3,44.23,0.314605093,1
3,44.72,0.314394058,1
3,45.24,0.315196914,1
3,45.74,0.315414428,1
3,46.24,0.316131592,1
3,46.74,0.316986084,1
3,47.23,0.316497803,1
3,47.95,0.314437866,1
3,48.73,0.316605029,1
3,49.25,0.318820825,1
3,49.75,0.319152896,1
3,50.25,0.319320679,1
3,50.76,0.319791528,1
3,51.25,0.320737573,1
3,51.74,0.321624756,1
3,52.24,0.320373536,1
3,52.76,0.324417114,1
3,53.26,0.324462891,1
3,53.75,0.323440552,1
3,54.27,0.326507114,1
3,54.75,0.326096162,1
3,55.27,0.327512124,1
3,55.77,0.329818726,1
3,56.25,0.33076707,1
3,56.77,0.331926738,1
3,57.29,0.333099365,1
3,57.77,0.333938599,1
3,58.26,0.335754394,1
3,58.76,0.336833525,1
3,59.26,0.338729858,1
3,59.77,0.339706421,1
3,60.28,0.342053584,1
3,60.76,0.342697144,1
3,61.26,0.344136025,1
3,61.78,0.345394058,1
3,62.28,0.345870972,1
3,62.79,0.348114013,1
3,63.26,0.348815918,1
3,63.78,0.349228189,1
3,64.27,0.350372356,1
3,64.78,0.352172852,1
3,65.29,0.35321045,1
3,65.77,0.352553887,1
3,66.3,0.354370082,1
3,66.78,0.354354859,1
3,67.28,0.353210647,1
3,67.81,0.355819696,1
3,68.29,0.354721057,1
3,68.82,0.355087232,1
3,69.33,0.355773983,1
3,69.83,0.35603283,1
3,70.33,0.357315063,1
3,70.82,0.357421875,1
3,71.27,0.35748291,1
3,71.81,0.356983613,1
3,72.32,0.356018066,1
3,72.83,0.3591156,1
3,73.3,0.357757569,1
3,73.8,0.356905249,1
3,74.34,0.358013281,1
3,74.83,0.358901978,1
3,75.31,0.357160342,1
3,75.85,0.358062744,1
3,76.35,0.357803345,1
3,76.86,0.357543946,1
3,77.36,0.357914585,1
3,77.81,0.35706061,1
3,78.34,0.35891856,1
3,78.84,0.357757568,1
3,79.37,0.357559204,1
3,79.87,0.358047485,1
3,80.38,0.357803345,1
3,80.87,0.35824585,1
3,81.39,0.35710144,1
3,81.88,0.356550713,1
3,82.39,0.357195371,1
3,82.89,0.357498169,1
3,83.38,0.358186675,1
3,83.88,0.358093262,1
3,84.39,0.356933594,1
3,84.88,0.35763771,1
3,85.39,0.357815991,1
3,85.9,0.358183237,1
3,86.4,0.358196943,1
3,86.89,0.357116699,1
3,87.39,0.357955933,1
3,87.9,0.358169556,1
3,88.4,0.358443506,1
3,88.87,0.358228682,1
3,89.37,0.356778413,1
3,89.89,0.357357729,1
3,90.41,0.356964112,1
3,90.91,0.357635498,1
3,91.41,0.358140068,1
3,91.92,0.358288516,1
3,92.41,0.357927998,1
3,92.92,0.356582641,1
3,93.43,0.35834835,1
3,93.93,0.358261108,1
3,94.43,0.358291626,1
4,5,0.273733442,0.5
4,5.53,0.274009829,0.5
4,6.02,0.273918,0.5
4,6.52,0.274773628,0.5
4,7.02,0.273826724,0.5
4,7.54,0.2742004395,0.5
4,8.03,0.274520874,0.5
4,8.54,0.2740631105,0.5
4,9.04,0.2745056155,0.5
4,9.55,0.275079146,0.5
4,10.05,0.2745971685,0.5
4,10.56,0.2747955325,0.5
4,11.05,0.275979072,0.5
4,11.56,0.276297954,0.5
4,12.07,0.276382447,0.5
4,12.57,0.275884849,0.5
4,13.07,0.2764587405,0.5
4,13.57,0.276147954,0.5
4,14.07,0.276245117,0.5
4,14.57,0.276922012,0.5
4,15.08,0.2768096925,0.5
4,15.59,0.2764892575,0.5
4,16.09,0.276878823,0.5
4,16.59,0.276680459,0.5
4,17.1,0.277227188,0.5
4,17.59,0.2771606445,0.5
4,18.11,0.277166411,0.5
4,18.6,0.276931763,0.5
4,19.12,0.2774200445,0.5
4,19.63,0.277824692,0.5
4,20.12,0.277297974,0.5
4,20.69,0.278404785,0.5
4,21.16,0.278282456,0.5
4,21.66,0.278100645,0.5
4,22.16,0.27746582,0.5
4,22.66,0.278432632,0.5
4,23.15,0.2781982425,0.5
4,23.65,0.277688574,0.5
4,24.14,0.2786407475,0.5
4,24.64,0.2786407475,0.5
4,25.13,0.278420044,0.5
4,25.63,0.278342632,0.5
4,26.13,0.2786102295,0.5
4,26.66,0.2786407475,0.5
4,27.19,0.278924878,0.5
4,27.71,0.279296875,0.5
4,28.2,0.278579712,0.5
4,28.71,0.278808594,0.5
4,29.2,0.2792053225,0.5
4,29.69,0.278893501,0.5
4,30.18,0.278921948,0.5
4,30.69,0.278951431,0.5
4,31.19,0.279088501,0.5
4,31.69,0.278915406,0.5
4,32.18,0.2792358395,0.5
4,32.68,0.279678345,0.5
4,33.17,0.2791595465,0.5
4,33.67,0.279059536,0.5
4,34.18,0.2793426515,0.5
4,34.69,0.279289712,0.5
4,35.19,0.279596782,0.5
4,35.69,0.279077124,0.5
4,36.19,0.279564629,0.5
4,36.69,0.2791595455,0.5
4,37.19,0.279113769,0.5
4,37.69,0.2796020505,0.5
4,38.2,0.279785156,0.5
4,38.71,0.279332817,0.5
4,39.2,0.279623594,0.5
4,39.71,0.279729805,0.5
4,40.22,0.279930063,0.5
4,40.71,0.2806701655,0.5
4,41.22,0.279946357,0.5
4,41.72,0.2799530025,0.5
4,42.22,0.280494573,0.5
4,42.73,0.280906108,0.5
4,43.23,0.280649038,0.5
4,43.73,0.280893179,0.5
4,44.23,0.280921626,0.5
4,44.73,0.28104499,0.5
4,45.23,0.280813179,0.5
4,45.74,0.281082153,0.5
4,46.23,0.2814636235,0.5
4,46.74,0.2821655275,0.5
4,47.24,0.282211304,0.5
4,47.95,0.280715942,0.5
4,48.73,0.282722681,0.5
4,49.25,0.28330415,0.5
4,49.75,0.283439668,0.5
4,50.25,0.2835845945,0.5
4,50.75,0.284170972,0.5
4,51.25,0.284201489,0.5
4,51.75,0.284942627,0.5
4,52.24,0.2861175535,0.5
4,52.76,0.286560059,0.5
4,53.26,0.286758423,0.5
4,53.75,0.287765503,0.5
4,54.27,0.288276445,0.5
4,54.75,0.289543442,0.5
4,55.28,0.290640522,0.5
4,55.78,0.290924072,0.5
4,56.26,0.292351919,0.5
4,56.77,0.293374258,0.5
4,57.28,0.294204712,0.5
4,57.78,0.2953948975,0.5
4,58.26,0.296234131,0.5
4,58.76,0.297292495,0.5
4,59.27,0.29850769,0.5
4,59.76,0.300186157,0.5
4,60.28,0.300940122,0.5
4,60.76,0.3017120365,0.5
4,61.26,0.304331196,0.5
4,61.78,0.305425605,0.5
4,62.28,0.3064117435,0.5
4,62.79,0.3073730465,0.5
4,63.27,0.309310913,0.5
4,63.78,0.310081624,0.5
4,64.27,0.310844442,0.5
4,64.78,0.312179566,0.5
4,65.29,0.3129577635,0.5
4,65.77,0.315345547,0.5
4,66.3,0.315490705,0.5
4,66.78,0.317016602,0.5
4,67.28,0.318275551,0.5
4,67.82,0.318962094,0.5
4,68.3,0.320014947,0.5
4,68.82,0.320243812,0.5
4,69.33,0.320976286,0.5
4,69.83,0.321937313,0.5
4,70.33,0.321655273,0.5
4,70.83,0.3217468255,0.5
4,71.27,0.3221282955,0.5
4,71.81,0.322214341,0.5
4,72.32,0.3218688965,0.5
4,72.84,0.322692871,0.5
4,73.3,0.3224639895,0.5
4,73.81,0.322976245,0.5
4,74.35,0.323125903,0.5
4,74.83,0.3230438235,0.5
4,75.32,0.323019868,0.5
4,75.84,0.323547363,0.5
4,76.36,0.3229064945,0.5
4,76.86,0.3230743405,0.5
4,77.36,0.322901079,0.5
4,77.81,0.3238779,0.5
4,78.34,0.323815054,0.5
4,78.85,0.323669434,0.5
4,79.38,0.324691772,0.5
4,79.87,0.324066162,0.5
4,80.38,0.3240051265,0.5
4,80.88,0.3241424565,0.5
4,81.38,0.3240203855,0.5
4,81.88,0.323920498,0.5
4,82.39,0.324258086,0.5
4,82.88,0.324615479,0.5
4,83.38,0.324608779,0.5
4,83.88,0.324615479,0.5
4,84.39,0.3246002195,0.5
4,84.89,0.324624214,0.5
4,85.39,0.324255591,0.5
4,85.89,0.324652837,0.5
4,86.4,0.324453696,0.5
4,86.9,0.3244628905,0.5
4,87.39,0.32447815,0.5
4,87.9,0.3245849605,0.5
4,88.4,0.324714307,0.5
4,88.87,0.324957847,0.5
