"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-58.01,0.18,-156.59,0.79,-9.45,0.08,58.54,0.35
"2 Tm versus ln[Ct]",-55.01,1.87,-147.52,5.65,-9.26,0.12,58.59,3
"3 Global fit",-57.54,0.09,-155.11,0.27,-9.44,0.01,58.66,0.14
